128.05	86659	18710	0.21590371455936486
129.05	86081	16959	0.1970121164949292
130.05	44287	6155	0.13897983606927541
131.05	64558	10269	0.15906626599337031
132.05	54207	7020	0.12950356964967624
133.05	68700	11288	0.16430858806404658
134.05	61348	7962	0.1297841820434244
135.05	53497	5809	0.10858552816045759
136.05	76748	8930	0.11635482357846459
137.05	64919	12239	0.18852724163958162
138.05	57023	11878	0.2083019132630693
139.05	72037	6092	0.08456765273401169
140.05	67094	14636	0.21814171162846155
141.05	58262	13397	0.2299440458617967
142.05	56079	7368	0.1313860803509335
143.05	64854	8188	0.12625281401301386
144.05	64508	5986	0.09279469213120853
145.05	60147	7101	0.11806075115965883
146.05	49376	7748	0.15691834089436163
147.05	53250	7438	0.13968075117370893
163.05	61558	4469	0.07259820007147731
166.05	71228	5158	0.0724153422811254
115.05	59203	36153	0.6106616218772697
117.05	38827	6927	0.17840677878795683
118.05	65963	57040	0.8647271955490199
119.05	68291	47476	0.6952014174635017
120.05	61208	45458	0.7426806953339433
121.05	57702	35299	0.6117465599112683
122.05	53455	34355	0.6426901131793097
123.05	61587	22867	0.3712958903664734
124.05	42330	12638	0.29855894164894875
125.05	52467	16253	0.3097756685154478
126.05	66060	3230	0.048894943990311836
127.05	69780	6405	0.09178847807394669
